Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"1368,258","-6,8400001526","81,1500015259","-36,25",-264,-7,44,"-0,0799999982","0,0299999993",0,"-0,0500000007","0,0500000007","0,0099999998",0
"1368,282","-7,1100001335","81,1100006104","-36,4399986267",-265,-7,41,"-0,0399999991","-0,0199999996","-0,0199999996","-0,0099999998","0,0399999991","0,0099999998",0
"1368,33","-7,3699998856","81,1200027466","-36,6899986267",-262,-7,40,"-0,0099999998","0,0099999998","-0,0299999993","0,0199999996","0,0099999998",0,0
"1368,397","-7,8000001907","81,0899963379","-37,1899986267",-262,-10,40,"0,0199999996",0,"-0,0299999993","0,0500000007","-0,0199999996","-0,0099999998",0
"1368,43","-10,3199996948","81,3499984741","-39,8600006104",-264,-7,40,"0,0299999993","0,0799999982","-0,0900000036","0,0700000003","0,0700000003","-0,0199999996",0
"1368,483","-10,5699996948","81,4100036621","-40,1899986267",-266,-7,40,"0,0399999991","0,0399999991","-0,0199999996","0,0700000003","0,0500000007","-0,0399999991",0
"1368,531","-10,0600004196","81,4300003052","-39,8600006104",-264,-3,40,"0,0599999987",0,"0,0199999996","0,0799999982","0,0099999998",0,0
"1368,579","-8,3800001144","81,3399963379","-38,4300003052",-266,-2,38,"0,0900000036","-0,0399999991","0,0700000003","0,1000000015","-0,0299999993","-0,0199999996",0
"1368,629","-6,8499999046","81,5400009155","-37,1300010681",-267,-5,39,"0,0900000036","0,0599999987","0,0799999982","0,1000000015","0,0199999996","-0,0099999998",0
"1368,682","-8,0500001907","81,8600006104","-38,3199996948",-264,-7,43,"-0,0099999998","0,1199999973","-0,0399999991",0,"0,1099999994","-0,0500000007",0
"1368,732","-9,720000267","82,1100006104","-39,9300003052",-268,-10,37,"-0,0199999996","0,0900000036","-0,0599999987",0,"0,2099999934","-0,0399999991",0
"1368,783","-11,5100002289","82,3099975586","-41,7000007629",-269,-4,35,"-0,0099999998","0,0799999982","-0,0700000003","0,0199999996","0,0900000036","-0,0099999998",0
"1368,832","-10,2399997711","82,5299987793","-40,4500007629",-263,-6,32,"0,0099999998","0,0700000003","0,0700000003","0,0299999993","0,0599999987","-0,0099999998",0
"1368,908","-10,2299995422","82,7799987793","-40,5499992371",-264,-11,32,"0,0399999991","0,0900000036","0,0099999998","0,0599999987","0,0500000007",0,0
"1368,949","-12,4399995804","82,9499969482","-43,2000007629",-268,-8,35,"0,1000000015","0,0500000007","-0,0700000003","0,1299999952","0,0399999991","0,0199999996",0
