Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"687,442","21,3299999237","73,9800033569","84,2900009155",-256,29,66,"0,0500000007","-0,0199999996","0,1000000015","0,0099999998","-0,0399999991","0,0199999996",0
"687,457","21,6399993896","73,9899978638","84,5299987793",-256,27,64,"0,0399999991","0,0099999998","0,0299999993","0,0099999998","-0,0299999993",0,0
"687,522","21,7199993134","74,0999984741","84,5299987793",-255,26,66,"0,0599999987","0,0700000003","-0,0299999993","0,0299999993","-0,0099999998","-0,0099999998",0
"687,605","21,7700004578","74,1500015259","84,4599990845",-256,22,66,"0,0299999993","0,0099999998","-0,0099999998","0,0199999996","-0,0099999998","0,0199999996",0
"687,69","19,2199993134","74,2900009155","81,9300003052",-256,26,67,"-0,0199999996","-0,0199999996","-0,150000006","-0,0199999996","-0,0500000007","-0,0399999991",0
"687,763","18,7099990845","74,2200012207","81,5699996948",-258,27,69,"-0,0399999991","-0,0199999996","-0,0099999998","-0,0500000007","-0,0399999991","-0,0500000007",0
"687,843","19,1599998474","73,9800033569","82,0199966431",-257,25,74,0,"-0,0500000007","0,0500000007","-0,0099999998","-0,0500000007","-0,0099999998",0
"687,923","19,3299999237","73,3899993896","82,2099990845",-260,19,74,0,"-0,1199999973","0,0500000007",0,"-0,0299999993","0,0500000007",0
"688,006","16,5300006866","73,1600036621","79,3000030518",-256,28,68,0,"-0,1000000015","-0,1599999964","0,0399999991","-0,0900000036","-0,0199999996",0
"688,082","19,1200008392","73,2699966431","81,4000015259",-254,28,69,"0,1199999973","0,0599999987","0,1199999973","0,1000000015","-0,0599999987","0,0099999998",0
"688,163","20,6100006104","73,3700027466","82,8799972534",-254,26,74,"0,0199999996","0,0500000007","0,0799999982",0,0,"0,0399999991",0
"688,266","20,3999996185","72,9700012207","82,4499969482",-258,26,71,"0,0399999991","-0,0900000036",0,"0,0399999991","-0,0299999993","0,0299999993",0
"688,327","21,2199993134","72,7600021362","83,0100021362",-255,26,72,"0,0500000007","-0,0199999996","0,0399999991","0,0399999991","-0,0799999982","0,0799999982",0
"688,403","20,6599998474","72,8099975586","82,2200012207",-255,28,74,"0,0599999987","-0,0099999998","-0,0700000003","0,0500000007","-0,0399999991",0,0
"688,483","20,3299999237","72,8799972534","81,8399963379",-255,29,77,"0,0099999998","0,0099999998","-0,0299999993",0,"0,0099999998","-0,0199999996",0
"688,563","20,1900005341","72,6299972534","81,75",-259,28,74,"-0,0099999998","-0,0500000007","0,0099999998","-0,0299999993","0,0099999998","-0,0099999998",0
"688,65","19,8199996948","72,7399978638","81,2600021362",-254,27,65,"0,0199999996","0,0099999998","-0,0399999991","0,0099999998","-0,0199999996","-0,0299999993",0
"688,723","20,5400009155","73,6600036621","81,7799987793",-252,27,74,"0,0500000007","0,1800000072","-0,0299999993","0,0199999996","0,0099999998","-0,0299999993",0
"688,803",20,"73,1600036621","81,0800018311",-256,29,72,"0,0299999993","-0,1299999952",0,"0,0299999993","-0,0399999991","-0,0099999998",0
"688,887","20,4099998474","72,9599990845","81,4300003052",-259,30,73,"0,0199999996","-0,0299999993","0,0399999991",0,"-0,0500000007",0,0
"688,968","20,5","72,8499984741","81,6200027466",-264,26,72,"-0,0199999996","-0,0199999996","0,0199999996","-0,0399999991","-0,0399999991","-0,0099999998",0
"689,044","19,5599994659","73,7099990845","80,5299987793",-285,28,57,"0,0199999996","0,150000006","-0,1299999952","0,0199999996","0,0700000003","-0,0700000003",0
"689,125","22,4400005341","75,8899993896","83,4300003052",-253,27,39,"0,0199999996","0,5199999809","-0,0199999996","-0,0199999996","0,1099999994","-0,0099999998",0
"689,205","28,0900001526","77,7900009155","88,6999969482",-259,22,43,"0,1099999994","0,4900000095","0,0599999987","0,0299999993","0,1099999994","0,0299999993",0
"689,286","26,5599994659","77,9899978638","86,7200012207",-263,30,41,"0,0900000036",0,"-0,1000000015","0,0399999991","-0,1199999973",0,0
"689,371","27,6900005341","76,9899978638","87,4899978638",-252,22,33,"0,0799999982","-0,1800000072","0,1299999952",0,"-0,349999994","0,0500000007",0
"689,445","24,8600006104","77,0299987793","85,0100021362",-246,25,21,"-0,0799999982","-0,0399999991","-0,1099999994","-0,150000006","-0,400000006","0,0099999998",0
"689,547","24,9200000763","77,3499984741","85,1299972534",-244,23,19,"-0,0099999998","0,0700000003","-0,0299999993","-0,1099999994","-0,5199999809","-0,0299999993",0
"689,605","27,6800003052","79,3099975586","87,7699966431",-228,19,-14,"0,0299999993","0,3400000036","-0,0700000003","-0,0599999987","-0,2599999905","-0,0500000007",100
"689,688","41,4700012207","82,4899978638","101,5100021362",-210,18,-17,"0,0599999987","1,1499999762",0,"-0,0700000003","0,1299999952","0,0299999993",100
"689,765","75,7399978638","84,9400024414","134,3600006104",-91,40,-28,"0,3400000036","0,8999999762","-0,0199999996","0,200000003","0,150000006",0,100
"689,846","141,9799957275","79,8799972534","-158,5899963379",18,10,50,"-0,0900000036","2,1099998951","0,2599999905","-0,25","1,5199999809","-0,3700000048",100
"689,926","123,6999969482","80,4300003052","-175,2799987793",-51,-47,33,"-0,3899999857","-0,5099999905","0,349999994","-0,4199999869","0,4399999976","0,1000000015",100
"690,006","40,7700004578","82,2200012207","98,4700012207",-112,58,77,"0,6000000238","-2,4600000381","-0,7799999714","0,4300000072","-1,7000000477","0,2800000012",100
"690,085","1,75","55,9599990845","66,8499984741",-1003,-51,1074,"-1,8300000429","-6,1300001144","-0,0099999998","-1,8700000048","-4,8200001717","-0,9499999881",100
"690,711","0,9100000262","35,3600006104","64,6900024414",-392,-99,490,"0,1099999994","-5,1799998283","-0,2599999905","0,3100000024","-5,1900000572","-0,3700000048",100
"690,736","0,9100000262","35,6500015259","64,7200012207",31,2,247,"-0,1099999994",0,"0,2800000012","0,1199999973","-0,0099999998","-0,0299999993",100
"690,852","1,9600000381","16,5100002289","66,2900009155",75,6,275,"0,150000006","-3,4700000286","0,349999994","0,6800000072","-0,0700000003",0,100
"690,891","2,2400000095","9,7299995422","65,5100021362",88,36,252,"0,1899999976","-3,1400001049","-0,2399999946","0,150000006","-0,1099999994","0,0500000007",100
"690,968","2,6900000572","4,1300001144","64,75",51,28,213,"0,2399999946","-2,6700000763","-0,25","-0,3400000036","-0,0500000007","-0,0599999987",100
"691,048","5,4000000954","-4,0100002289","62,8400001526",-44,24,277,"0,5799999833","-1,8700000048","-0,3000000119","0,200000003","-0,5099999905","-0,0199999996",100
"691,134","4,1599998474","1,1200000048","61,3699989319",27,32,235,"-0,2599999905","1,0900000334","-0,4099999964","-0,200000003","-0,1199999973","0,0299999993",100
"691,207","6,1500000954","-0,9800000191","60,4700012207",39,4,280,"0,400000006","-0,4399999976","-0,1400000006","0,1000000015","0,2199999988","0,1099999994",100
"691,356","3,2100000381","-4,1300001144","58,6699981689",95,-4,238,"-0,7300000191","-0,7699999809","-0,3700000048","-0,2099999934","-0,0500000007","-0,1700000018",100
"691,371","-0,6499999762","-16,0400009155","63,5999984741",36,29,266,"-0,3300000131","-1,5299999714","0,6399999857","-0,0099999998","0,0199999996","0,1199999973",100
"691,449","0,2300000042","-14,8400001526","63,9099998474",25,34,251,"0,6399999857","0,8199999928","0,2099999934","-0,0599999987","0,0599999987","0,0900000036",100
"691,527","3,7599999905","-11,5799999237","64,3600006104",46,6,254,"0,8199999928","0,75","0,0700000003","0,1000000015","-0,0299999993","-0,0399999991",100
"691,621","2,6300001144",-11,"65,75",54,14,234,"-0,1899999976","0,1400000006","0,2899999917","-0,0399999991","0,0199999996","-0,0299999993",100
"691,688","3,1800000668","-11,8299999237","66,9800033569",41,9,254,"0,150000006","-0,1400000006","0,2399999946","0,0399999991","0,0299999993","-0,0199999996",100
"691,771","2,6900000572","-11,1300001144","67,8899993896",39,16,242,"-0,0799999982","0,1899999976","0,2199999988","-0,0299999993","-0,0399999991","-0,0199999996",100
"691,848","3,3199999332","-10,3900003433","70,6699981689",42,13,249,"0,2399999946","0,1899999976","0,5600000024","0,0299999993","0,0099999998","0,0199999996",100
"691,928","3,6300001144","-10,3100004196","72,8000030518",47,13,243,"0,1599999964","0,0500000007","0,4799999893","0,0900000036","-0,0399999991","-0,0500000007",100
"692,01","3,4900000095","-10,3900003433","75,25",43,15,235,"0,0700000003","0,0099999998","0,5199999809","0,0199999996","0,0500000007","0,0299999993",100
"692,088","4,0500001907","-10,6700000763","77,3799972534",38,13,252,"0,200000003","-0,0299999993","0,4499999881","0,1099999994","-0,0399999991","0,0099999998",100
"692,17","3,6900000572","-10,3100004196","79,3700027466",46,14,246,0,"0,1099999994","0,4300000072","0,0199999996","-0,0900000036","0,0299999993",100
"692,249","3,6099998951","-10,6300001144","80,8899993896",45,22,265,"0,0399999991","-0,0500000007","0,3199999928","0,0099999998","-0,0299999993","-0,0500000007",100
"692,328","4,3200001717","-9,029999733","81,8799972534",48,18,261,"0,1899999976","0,3700000048","0,1899999976","0,0399999991","0,2800000012","-0,0599999987",100
"692,434","5,4499998093","-6,7300000191","83,4499969482",64,26,256,"0,2899999917","0,5299999714","0,3000000119","0,2800000012","0,6600000262","0,0199999996",100
"692,488","5,9499998093","-2,7699999809","86,25",72,9,293,"0,1099999994","0,6999999881","0,400000006","0,0500000007","1,3600000143","0,1099999994",100
"692,573","4,3099999428","-2,5699999332","88,4100036621",7,-1,260,"-0,5","0,1199999973","0,6899999976","-0,0799999982","1,2599999905","0,3700000048",100
"692,649","9,0500001907","5,4499998093","86,7799987793",-54,15,246,1,"1,5800000429","-0,5199999809","1,4099999666","1,4900000095","-0,6600000262",100
"692,731","9,4200000763","16,6200008392","85,6299972534",-52,22,166,"0,1700000018","2,5599999428","-0,6800000072","0,6600000262","1,9500000477","-0,6999999881",100
"692,813","7,7600002289","19,7700004578","86,4499969482",-85,54,265,"-0,4199999869","0,6800000072","0,0599999987","-0,2300000042","0,6299999952","-0,150000006",100
"692,89","11,3699998856","21,9400005341","88,3000030518",-214,43,191,"0,6299999952","0,5199999809","0,2800000012","0,3799999952","0,7099999785","-0,0900000036",100
"692,973","13,7100000381","38,5999984741","90,5100021362",-143,83,179,"0,2599999905","3,9200000763","-0,4399999976","0,25","1,4400000572","-0,1599999964",100
"693,05","24,2700004578","37,3300018311","100,4100036621",-154,115,242,"0,9499999881","0,3100000024","1,6499999762","0,4399999976","0,3700000048","1,0399999619",100
"693,13","27,8899993896","33,75","104,6100006104",-122,83,220,"0,2800000012","-0,3700000048","1,0599999428","0,1800000072","0,349999994","0,6899999976",100
"693,21",30,"30,5699996948","101,9800033569",-155,90,270,"0,75","-0,8600000143","-0,1000000015","1,1900000572","-0,1599999964",0,100
"693,29","25,5900001526","31,8999996185","98,7300033569",-202,160,201,"-0,5899999738","-0,0199999996","-0,6700000167","0,3000000119","0,5099999905","-0,1099999994",100
"693,37","36,0400009155","35,8499984741","98,5299987793",-227,219,264,"2,3699998856","0,6600000262","-0,4099999964","1,3300000429","-0,25","-0,5199999809",100
"693,453","43,4900016785","29,0499992371","100,1299972534",-105,220,237,"1,4199999571",-1,"1,2000000477",1,"-0,8100000024","0,8799999952",100
"693,53","45,0699996948","20,7600002289","101,5400009155",-258,54,140,"0,2199999988","-1,0599999428","1,4199999571","0,2099999934","0,0199999996","0,6499999762",0
