Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"2438,018","16,8600006104","73,4499969482","-4,5",-256,23,76,"-0,0299999993","-0,0299999993",0,"-0,0299999993","0,0500000007","-0,0299999993",0
"2438,036","16,7999992371","73,3399963379","-4,5300002098",-256,24,73,"-0,0099999998","-0,0500000007","0,0099999998","-0,0099999998","0,0099999998",0,0
"2438,084","17,0599994659","73,3099975586","-4,3099999428",-257,27,73,"0,0299999993","-0,0099999998","0,0500000007","0,0199999996","-0,0099999998","0,0199999996",0
"2438,122","18,0599994659","73,1900024414","-3,4400000572",-255,26,69,"0,0599999987","-0,0099999998","0,1000000015","0,0399999991","-0,0199999996","0,0299999993",0
"2438,165","18,8999996185","73,3199996948","-2,7200000286",-255,26,67,"0,0700000003","0,0900000036","0,0700000003","0,0399999991","0,0099999998","0,0399999991",0
"2438,218","19,6499996185","73,5400009155","-2,0699999332",-254,26,71,"0,0500000007","0,1099999994","0,0399999991","0,0299999993","0,0099999998","0,0299999993",0
"2438,265","20,0599994659","73,4599990845","-1,8799999952",-255,25,74,"0,0799999982","-0,0199999996","0,0199999996","0,0799999982","-0,0099999998","0,0199999996",0
"2438,32","20,1700000763","73,2799987793","-1,8899999857",-259,27,72,"0,0500000007","-0,0599999987","0,0199999996","0,0599999987",0,"0,0500000007",0
"2438,364","20,2700004578","73,4400024414","-1,7000000477",-259,29,72,"-0,0299999993","0,0500000007",0,"-0,0299999993","0,0399999991",0,0
"2438,422","20,3400001526","73,5","-1,4199999571",-258,28,69,"-0,0799999982","0,0299999993","0,0199999996","-0,0900000036","0,0299999993","-0,0099999998",0
"2438,466","20,6700000763","73,7300033569","-0,8500000238",-254,26,69,"-0,0700000003","0,0799999982","0,0199999996","-0,0799999982","0,0399999991",0,0
"2438,523","20,5300006866","73,8099975586","-0,9300000072",-253,22,71,"-0,0199999996","0,0299999993","-0,0199999996","-0,0299999993","0,0199999996","-0,0099999998",0
"2438,567","19,2099990845","73,7900009155","-2,1500000954",-255,21,76,"-0,0500000007","-0,0399999991","-0,0900000036","-0,0099999998",0,"-0,0099999998",0
"2438,669","18,1000003815","73,6100006104","-3,2100000381",-258,21,74,"-0,0399999991","-0,1000000015","-0,0900000036","0,0099999998","0,0099999998","-0,0199999996",0
"2438,684","17,1599998474","73,5899963379","-4,5300002098",-256,25,70,"0,0599999987","-0,0299999993","-0,0700000003","0,1000000015","0,0099999998","-0,0099999998",0
"2438,723","17,5300006866","73,6500015259","-4,2899999619",-259,24,74,"0,1000000015","0,0500000007","0,0299999993","0,1099999994","0,0199999996","-0,0199999996",0
"2438,77","17,3899993896","73,6100006104","-4,4899997711",-258,21,74,"0,0299999993","-0,0199999996","-0,0199999996","0,0500000007","0,0099999998","-0,0399999991",0
"2438,82","16,4300003052","73,6100006104","-5,4400000572",-258,18,72,"-0,0199999996","-0,0299999993","-0,0900000036","0,0199999996",0,"-0,0599999987",0
"2438,872","15,5","73,7300033569","-6,4099998474",-258,15,70,0,"0,0199999996","-0,1000000015","0,0299999993",0,"-0,0299999993",0
"2438,915","14,470000267","74,0800018311","-7,4899997711",-256,12,67,0,"0,0900000036","-0,1299999952","0,0399999991","0,0399999991","-0,0199999996",0
