Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
2216617,"-178,3300018","52,61999893","155,0899963",-223,-19,-169,"-0,810000002","-0,699999988","0,400000006","-0,75","-0,620000005","0,219999999",0
2216666,"178,6600037","54,84999847","153,1300049",-239,-22,-168,"-0,519999981","-0,810000002","0,430000007","-0,74000001","-0,790000021","0,639999986",0
2216716,"176,5700073","57,61000061","150,8899994",-246,-33,-163,"-0,079999998",-1,"0,400000006","-0,400000006",-1,"0,829999983",0
2216766,"175,6999969","61,75999832","147,3899994",-275,-30,-131,"0,769999981","-1,49000001","0,49000001","0,310000002","-1,620000005","1,230000019",0
2216816,"174,8500061","66,83999634","143,1300049",-254,-19,-167,"1,070000052","-1,820000052","0,449999988","0,720000029","-1,539999962","1,210000038",0
2216867,"175,3899994","67,16000366","141,9299927",-200,-15,-127,"0,569999993","-0,119999997","0,150000006","0,300000012","-1,210000038","0,699999988",0
2216919,"176,2799988","69,22000122","142,0700073",-257,41,-69,"0,25999999","-0,699999988","-0,07","0,07","-1,5","0,349999994",0
2216972,"163,4499969","73,87000275","129,5",-256,49,-79,"-0,300000012","-1,769999981","1,039999962","-0,039999999","-1,25","0,409999996",0
"2217,02","147,0700073","74,61000061","113,8099976",-268,78,-71,"-0,419999987","-0,800000012","1,169999957","-0,219999999","-0,970000029","0,670000017",0
2217072,"129,0299988","74,08000183","97,70999908",-314,84,-70,"-0,920000017","-0,899999976","1,309999943","-0,639999986","-1,100000024","0,629999995",0
2217128,"105,8899994","73,05000305","78,41999817",-256,96,-91,"-1,559999943","-1,440000057","1,190000057","-1,350000024","-1,75","0,970000029",0
2217175,"95,16999817","67,86000061","73,55000305",-195,115,-70,"-1,899999976","-0,129999995","1,720000029","-2,170000076","-1,49000001","1,340000033",0
2217216,"94,19999695","65,94999695","79,05000305",-163,112,-2,"-2,24000001","0,899999976","0,649999976","-2,539999962","-0,340000004",0,0
2217275,"86,09999847","65,73999786","76,69000244",-215,38,75,"-2,539999962","-0,409999996","0,159999996","-2,380000114","-0,409999996","-0,550000012",0
2217318,"63,63000107","68,01999664","59,15000153",-152,73,63,"-1,889999986","-1,830000043","-1,129999995","-1,169999957","-0,649999976","-0,050000001",0
2217368,"56,11000061","65,59999847","54,65000153",-201,153,78,"-1,370000005","-1,120000005","0,540000021","-0,959999979","-0,550000012","0,170000002",0
2217432,"58,86000061","61,68000031","59,13000107",-194,181,55,"-0,430000007","-0,129999995","1,539999962","-0,319999993","0,25","0,059999999",0
"2217,47","64,86000061","56,86999893","64,80000305",-216,93,41,"0,310000002","0,079999998","1,529999971","-0,230000004","0,129999995","-0,050000001",0
2217518,"64,37000275","58,38000107","65,51999664",-239,119,77,"-0,50999999","0,449999988","-0,550000012","-0,689999998","0,219999999","0,079999998",0
2217602,"62,06000137","58,00999832","64,83999634",-241,123,67,"-0,629999995","-0,180000007","0,07","-0,600000024","0,119999997","0,349999994",0
"2217,62","59,84999847","56,31000137","58,40000153",-267,48,100,"0,720000029","-0,879999995","-0,07","0,579999983","-0,870000005","0,159999996",0
2217669,"56,34000015","57,56999969","54,27000046",-279,35,78,"-0,029999999","-0,860000014","-1,580000043","0,560000002","-0,639999986","0,219999999",0
2217718,"50,97999954","63,06999969","46,95000076",-273,50,62,"0,389999986","0,170000002","-2,349999905","0,819999993","-0,159999996","-0,419999987",0
2217771,"50,20000076","69,97000122","45,11000061",-332,96,51,"0,340000004","1,389999986","-2,059999943","0,600000024","0,879999995","-1,059999943",0
"2217,82","56,06999969","75,05000305","48,61999893",-334,39,104,"0,839999974","1,299999952","-1,100000024","0,790000021","0,769999981","-1,169999957",0
2217891,"42,88999939","79,44000244","36,34000015",-287,30,73,"-0,430000007","0,270000011","-1,809999943","-0,039999999","1,299999952","-1,129999995",0
2217922,"26,09000015","82,18000031","21,98999977",-347,8,48,"-0,649999976","0,219999999","-0,850000024","-0,469999999","0,860000014","-0,720000029",0
"2217,97","18,46999931","83,41999817","15,22999954",-333,25,21,"-0,519999981","0,460000008","-0,709999979","-0,389999986","0,550000012","-0,449999988",0
2218023,"32,22000122","84,54000092","31,06999969",-293,41,-2,"-0,75","0,639999986","0,370000005","-0,699999988","0,330000013","0,119999997",0
2218085,"49,86999893","83,66999817","49,02999878",-237,7,-78,"-0,07","0,180000007","0,629999995","-0,219999999","-0,330000013","0,129999995",0
2218119,"142,0700073","82,41999817","139,0399933",-183,16,-125,"0,730000019","2,769999981","-0,029999999","0,469999999","0,889999986","0,25999999",0
2218167,"157,2700043","76,94000244","152,1199951",-219,8,-3,"1,220000029","3,180000067","0,49000001","0,949999988","1,080000043","0,469999999",0
2218237,"157,1699982","76,56999969","148,5200043",-244,-9,51,"1,210000038","0,01","0,330000013","1,120000005","0,870000005","0,550000012",0
2218268,"156,8600006","85,01000214","145,7200012",-280,1,7,"0,629999995","-2,019999981","-0,790000021","0,540000021","0,02","-0,180000007",0
2218317,"159,9299927","86,56999969","147,8200073",-282,-10,-10,"0,550000012","-0,689999998","-0,370000005","0,49000001","-0,119999997","-0,189999998",0
2218369,"176,7599945","88,76999664","164,1900024",-238,-19,-14,"0,170000002","-0,709999979","-0,389999986","0,109999999","-0,600000024","-0,059999999",0
"2218,42","-115,9599991","88,02999878","-126,5199966",-211,9,-18,"-0,670000017","-0,150000006","-0,629999995","-0,699999988","-0,330000013","-0,219999999",0
"2218,47","-131,9400024","88,23999786","-139,1300049",-296,66,-13,"-1,159999967","0,079999998","0,140000001","-1,200000048","-0,230000004","-0,150000006",0
2218518,"71,41000366","87,54000092","66,30999756",-296,93,-8,"-0,74000001","-0,649999976","1,25999999","-0,75","-0,790000021","-0,170000002",0
