Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
2368.863,-2.24000000953674,77.2799987792969,-24.2600002288818,-260,1,58,0.119999997317791,-0.0299999993294477,0.0599999986588955,0.119999997317791,-0.0500000007450581,0.0299999993294477,0
2368.885,-0.519999980926514,77.1100006103516,-22.9200000762939,-260,2,58,0.129999995231628,-0.0500000007450581,0.0900000035762787,0.119999997317791,-0.0700000002980232,0.0299999993294477,0
2368.907,0.0199999995529652,77.0800018310547,-22.5200004577637,-261,1,61,0.129999995231628,-0.0299999993294477,0.0700000002980232,0.109999999403954,-0.0599999986588955,0.0299999993294477,0
2369.047,1.32000005245209,76.9100036621094,-21.5499992370605,-265,2,60,0.140000000596046,-0.0500000007450581,0.0900000035762787,0.129999995231628,-0.0399999991059303,0.0700000002980232,0
2369.076,2.77999997138977,77.2900009155273,-20.9200000762939,-257,7,58,0.119999997317791,0.0599999986588955,0.0199999995529652,0.119999997317791,0.0199999995529652,0.0199999995529652,0
2369.101,3.79999995231628,77.2699966430664,-20.1599998474121,-254,10,63,0.170000001788139,-0.00999999977648258,0.100000001490116,0.150000005960464,0,0.0299999993294477,0
2369.127,4.90000009536743,77.0800018310547,-19.2999992370605,-255,11,60,0.180000007152557,-0.109999999403954,0.140000000596046,0.140000000596046,0,0.0299999993294477,0
2369.154,5.86999988555908,77.0500030517578,-18.5300006866455,-257,11,62,0.150000005960464,-0.00999999977648258,0.119999997317791,0.119999997317791,0.0199999995529652,0.0199999995529652,0
2369.2,6.57000017166138,77,-17.8899993896484,-260,7,60,0.0500000007450581,-0.0199999995529652,0.100000001490116,0.0399999991059303,0.0399999991059303,0.00999999977648258,0
2369.283,6.40999984741211,77.1500015258789,-17.9799995422363,-265,9,57,-0.0299999993294477,0.0599999986588955,-0.00999999977648258,-0.0199999995529652,0.0599999986588955,-0.00999999977648258,0
