Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"1437,865","15,3800001144","75,6200027466","-7,0199999809",-262,18,69,"-0,0599999987","-0,0599999987","0,1000000015","-0,0599999987","-0,0599999987","0,0700000003",0
"1437,889","15,4499998093","75,3700027466","-6,7399997711",-263,19,64,"-0,1199999973","-0,1299999952","0,0799999982","-0,1000000015","-0,0399999991","0,0700000003",0
"1437,936","15,6499996185","75,3300018311","-6,3400001526",-262,19,67,"-0,1299999952","-0,0099999998","0,0799999982","-0,1299999952","-0,0500000007","0,0599999987",0
"1437,988","15,8500003815","75,0599975586","-5,6999998093",-257,22,68,"-0,1599999964","-0,0799999982","0,0900000036","-0,150000006","-0,0599999987","0,0799999982",0
"1438,04","16,9599990845","74,5999984741","-4,1599998474",-255,20,67,"-0,1299999952","-0,1099999994","0,1700000018","-0,1400000006","-0,0700000003","0,1099999994",0
"1438,088","17,1599998474","74,5599975586","-3,4100000858",-256,17,68,"-0,1700000018","0,0099999998","0,0700000003","-0,1700000018","0,0099999998","0,0799999982",0
"1438,137","16,3199996948","74,4300003052","-3,9700000286",-257,19,71,"-0,1099999994","-0,0599999987","-0,0399999991","-0,0799999982","-0,0500000007","0,0399999991",0
"1438,194","15,9799995422","74,0599975586","-4,3899998665",-259,16,70,"0,0199999996","-0,1400000006",0,"0,0399999991","-0,1000000015","0,0199999996",0
"1438,237","15,4099998474","73,9599990845","-5,1599998474",-263,16,69,"0,0500000007","-0,0500000007","-0,0500000007","0,0799999982","-0,0700000003","0,0299999993",0
"1438,286","14,8400001526","74,0199966431","-5,8299999237",-261,20,71,"0,0299999993",0,"-0,0799999982","0,0599999987","-0,0700000003",0,0
"1438,338","14,6999998093","73,9400024414","-6,0900001526",-256,20,70,"0,0399999991","-0,0299999993","-0,0199999996","0,0500000007","-0,0599999987","-0,0399999991",0
"1438,387","14,720000267","73,9199981689","-6,1999998093",-251,17,71,"0,0500000007","-0,0099999998","-0,0099999998","0,0599999987","-0,0399999991","-0,0399999991",0
"1438,437","14,4200000763","74,0100021362","-6,5199999809",-257,17,68,0,"0,0299999993","-0,0399999991","0,0199999996","0,0399999991","-0,0099999998",0
"1438,486","14,220000267","74,2399978638","-6,7199997902",-257,18,71,0,"0,0700000003","-0,0399999991","0,0099999998","0,0099999998","-0,0099999998",0
"1438,538","14,0500001907","74,2300033569","-6,8800001144",-255,15,68,"-0,0099999998","-0,0099999998","-0,0099999998",0,0,"-0,0199999996",0
"1438,586","13,6099996567","74,4899978638","-7,1199998856",-253,15,72,"-0,0700000003","0,0799999982","-0,0399999991","-0,0500000007","0,0399999991",0,0
"1438,641","13,2100000381","74,4000015259","-7,3099999428",-258,18,72,"-0,0799999982","-0,0399999991","-0,0099999998","-0,0500000007","0,0399999991","0,0199999996",0
"1438,721","13,3000001907","74,3899993896","-7,0100002289",-261,15,75,"-0,0599999987",0,"0,0299999993","-0,0500000007","0,0399999991",0,0
"1438,747","12,6400003433","74,25","-7,5799999237",-256,15,73,"-0,0299999993","-0,0399999991","-0,0299999993","-0,0099999998","0,0399999991","0,0099999998",0
"1438,788","12,5600004196","74,2300033569","-7,6599998474",-255,15,69,0,"-0,0099999998","-0,0099999998","0,0099999998","0,0299999993",0,0
"1438,837","12,5699996948","74,4199981689","-7,6599998474",-258,12,67,"0,0099999998","0,0799999982","-0,0199999996","0,0099999998","0,0500000007",0,0
"1438,887","12,0600004196","74,7399978638","-8,1599998474",-258,14,69,"-0,0099999998","0,1000000015","-0,0700000003","0,0099999998","0,0399999991",0,0
"1438,939","11,9200000763","74,8499984741","-8,3199996948",-257,16,67,0,"0,0399999991","-0,0199999996","0,0199999996","0,0399999991","-0,0099999998",0
"1438,989","12,3699998856",75,"-7,9099998474",-259,16,66,"0,0199999996","0,0500000007","0,0199999996","0,0199999996","0,0299999993","-0,0099999998",0
"1439,038","12,8100004196","75,1999969482","-7,5700001717",-259,16,68,"0,0399999991","0,0799999982","0,0099999998","0,0299999993","0,0399999991",0,0
"1439,088","13,0500001907","75,1999969482","-7,4299998283",-255,17,66,"0,0399999991",0,"0,0099999998","0,0299999993","0,0299999993",0,0
