Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"1069,672","3,7300000191","75,3499984741","-17,6900005341",-259,3,68,"-0,0500000007","0,0700000003","-0,0299999993","-0,0299999993","0,0500000007",0,0
"1069,697","3,6600000858","75,3700027466","-17,7099990845",-257,3,68,"-0,0299999993","0,0099999998",0,"-0,0099999998","0,0199999996","0,0199999996",0
"1069,741","3,5999999046","75,3399963379","-17,7299995422",-259,5,68,"-0,0299999993","-0,0199999996",0,"-0,0199999996",0,"0,0199999996",0
"1069,791","3,7799999714","75,2399978638","-17,4500007629",-258,4,66,"-0,0299999993","-0,0399999991","0,0299999993","-0,0299999993","-0,0299999993","0,0199999996",0
"1069,841","3,6800000668","75,3000030518","-17,4500007629",-261,2,66,"-0,0399999991","0,0199999996",0,"-0,0299999993","-0,0099999998","0,0099999998",0
"1069,891","3,1700000763","75,4599990845","-17,8500003815",-261,1,63,"-0,0500000007","0,0500000007","-0,0399999991","-0,0299999993","0,0099999998","0,0099999998",0
"1069,942","2,6700000763","75,6600036621","-18,25",-257,3,68,"-0,0399999991","0,0700000003","-0,0399999991","-0,0199999996","-0,0199999996","0,0099999998",0
"1070,002","2,1199998856","75,4000015259","-18,7999992371",-255,1,65,0,"-0,0900000036","-0,0399999991",0,"-0,0500000007","-0,0399999991",0
"1070,041","1,6900000572","75,4700012207","-19,2600002289",-255,-1,69,0,"0,0199999996","-0,0299999993","0,0099999998",0,0,0
"1070,096","1,0299999714","75,3899993896","-19,8799991608",-258,-2,71,"-0,0299999993","-0,0399999991","-0,0700000003","-0,0099999998","0,0199999996","-0,0099999998",0
"1070,142","0,0700000003","75,0500030518","-20,8500003815",-262,0,70,"-0,0099999998","-0,1099999994","-0,0799999982","0,0199999996","-0,0299999993","-0,0199999996",0
"1070,207","-0,1299999952","74,9100036621","-21,0799999237",-259,1,69,"0,0099999998","-0,0500000007","-0,0199999996","0,0199999996","-0,0500000007","-0,0199999996",0
"1070,244","-0,1899999976","74,7799987793","-20,9799995422",-256,0,71,"-0,0399999991","-0,0299999993","0,0099999998","-0,0299999993","-0,0500000007","-0,0199999996",0
"1070,292","-0,1299999952","74,6100006104","-20,8299999237",-255,0,70,"-0,0399999991","-0,0799999982","0,0199999996","-0,0299999993","-0,0500000007","0,0099999998",0
"1070,353","-0,3400000036","74,5599975586","-21,1499996185",-258,-1,69,"0,0399999991","-0,0199999996","-0,0299999993","0,0299999993","-0,0199999996","-0,0299999993",0
"1070,4","-0,7099999785","74,6200027466","-21,4699993134",-258,-1,71,"-0,0199999996","0,0199999996","-0,0199999996","-0,0199999996","-0,0199999996","-0,0099999998",0
"1070,443","-1,0099999905","74,5199966431","-21,6900005341",-257,1,69,"-0,0299999993","-0,0399999991","-0,0199999996","-0,0299999993","-0,0299999993","-0,0199999996",0
"1070,493","-0,6700000167","74,5500030518","-21,2800006866",-259,3,72,"-0,0199999996","0,0099999998","0,0500000007","-0,0399999991","-0,0299999993",0,0
"1070,542","0,1700000018","74,4100036621","-20,3799991608",-258,1,72,"-0,0099999998","-0,0500000007","0,0799999982","-0,0299999993","-0,0399999991","0,0099999998",0
"1070,592","0,4199999869","74,3300018311",-20,-256,-3,72,"-0,0399999991","-0,0299999993","0,0399999991","-0,0599999987","-0,0299999993","0,0199999996",0
"1070,642","0,0900000036","74,3199996948","-20,1000003815",-255,-1,72,"-0,0799999982",0,"-0,0099999998","-0,0700000003",0,"0,0599999987",0
"1070,71","-0,150000006","74,2900009155","-20,2399997711",-258,-1,70,"-0,0399999991","-0,0099999998","-0,0099999998","-0,0299999993",0,"0,0099999998",0
"1070,757","-0,3799999952","74,4899978638","-20,4099998474",-258,-2,74,"-0,0199999996","0,0500000007","-0,0099999998","-0,0199999996",0,"0,0099999998",0
"1070,795","-0,5400000215","74,3499984741","-20,6100006104",-260,-1,70,"0,0099999998","-0,0500000007","-0,0199999996","0,0199999996",0,"0,0099999998",0
"1070,857","-0,4699999988","74,4599990845","-20,6299991608",-259,0,72,"0,0399999991","0,0500000007",0,"0,0399999991",0,"0,0099999998",0
"1070,897","-0,1800000072","74,5","-20,4899997711",-260,-3,69,"0,0500000007","0,0099999998","0,0099999998","0,0399999991","0,0099999998",0,0
"1070,989","-0,8100000024","74,8199996948","-21,1499996185",-259,-5,67,0,"0,1400000006","-0,0799999982","0,0099999998","0,0799999982","-0,0199999996",0
"1071,053","-6,5900001526","76,9800033569","-26,1599998474",-262,-29,72,"-0,1800000072","0,4199999869","-0,2099999934","-0,1599999964","0,3600000143","-0,1299999952",0
"1071,079",-18,"76,4199981689","-36,8800010681",-250,-14,61,"-0,2700000107","-0,0099999998","-0,6899999976","-0,150000006","0,2300000042","-0,2599999905",0
"1071,105","-19,7399997711","76,5","-38,4399986267",-248,-15,61,"-0,1599999964","0,1299999952","-0,2099999934","-0,1099999994","0,2099999934","-0,3199999928",0
"1071,143","-21,0200004578","76,4400024414","-39,6399993896",-254,-20,60,"-0,0700000003","0,0299999993","-0,200000003","-0,0299999993","0,1400000006","-0,3100000024",0
"1071,193","-22,0900001526","76,3499984741","-40,6199989319",-249,-30,51,"-0,0500000007",0,"-0,1099999994","0,0199999996","0,0599999987","-0,1700000018",0
