Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"1527,032","54,5800018311","6,4099998474","101,9400024414",-26,207,148,"-0,0599999987","-0,0199999996","0,0099999998","-0,0700000003","-0,0299999993","0,0199999996",100
"1527,061","54,3499984741","6,0799999237","101,7900009155",-27,206,151,"-0,0500000007","-0,0799999982","0,0500000007","-0,0299999993","-0,0399999991","0,0199999996",100
"1527,114","54,1699981689","6,0300002098","101,7600021362",-27,208,153,"-0,1099999994","-0,0299999993","0,0099999998","-0,0399999991","-0,0199999996","0,0199999996",100
"1527,163","53,8899993896","6,0799999237","101,7699966431",-27,208,150,"-0,0900000036","0,0099999998","-0,0099999998","-0,0299999993","0,0199999996",0,100
"1527,213","53,8499984741","6,0599999428","101,75",-27,206,150,"-0,0099999998","-0,0099999998",0,"-0,0299999993","-0,0099999998","0,0099999998",100
"1527,261","53,7299995422","6,0700001717","101,7600021362",-27,206,151,"-0,0399999991",0,0,"-0,0299999993",0,"0,0099999998",100
"1527,311","53,5999984741","6,0500001907","101,7399978638",-27,206,150,"-0,0500000007","-0,0099999998",0,"-0,0399999991",0,"0,0099999998",100
"1527,361","53,5699996948","6,0900001526","101,8199996948",-27,206,151,"-0,0099999998","0,0299999993",0,"-0,0299999993","0,0199999996","0,0099999998",100
"1527,415","53,5099983215","6,0700001717","101,8199996948",-29,209,152,"-0,0199999996",0,"0,0099999998","-0,0199999996","-0,0099999998","0,0099999998",100
"1527,466","53,5999984741","6,0500001907","101,7300033569",-29,205,149,"0,0299999993","-0,0299999993","-0,0099999998",0,"-0,0500000007","0,0199999996",100
"1527,515","53,5900001526",6,"101,5999984741",-26,206,149,0,"-0,0399999991","-0,0099999998","-0,0199999996","-0,0799999982","0,0299999993",100
"1527,572","53,5299987793","5,8800001144","101,5500030518",-26,206,153,"-0,0199999996","-0,0399999991","0,0199999996","-0,0500000007","-0,0500000007","0,0099999998",100
"1527,62","53,2299995422","5,7100000381","101,5100021362",-26,205,151,"-0,0900000036","-0,0399999991","0,0399999991","-0,0599999987","-0,0399999991","0,0299999993",100
"1527,668","53,0600013733","5,6199998856","101,4899978638",-25,206,154,"-0,0599999987","-0,0299999993","0,0199999996","-0,0799999982","-0,0299999993","0,0399999991",100
"1527,715","52,9199981689","5,5700001717","101,4800033569",-24,202,155,"-0,0500000007","-0,0099999998","0,0099999998","-0,0500000007","-0,0099999998","0,0199999996",100
"1527,765","52,5600013733","5,5599999428","101,5400009155",-24,203,156,"-0,1299999952","0,0099999998","0,0199999996","-0,0799999982","0,0299999993","0,0199999996",100
"1527,816","52,3100013733","5,5999999046","101,7099990845",-24,202,157,"-0,1000000015","0,0599999987","0,0199999996","-0,0700000003","0,0700000003","0,0199999996",100
"1527,866","52,1100006104","5,5900001526","101,7900009155",-26,203,155,"-0,0700000003","0,0199999996","0,0199999996","-0,0399999991","0,0399999991","0,0199999996",100
"1527,917","52,1599998474","5,6700000763","101,8099975586",-26,203,158,"0,0099999998","0,0199999996","-0,0199999996","-0,0199999996","0,0099999998","0,0099999998",100
"1527,978","52,0800018311","5,6900000572","101,8399963379",-26,203,156,"-0,0299999993","0,0099999998",0,"-0,0099999998",0,"0,0199999996",100
"1528,016","52,1300010681","5,6799998283","101,8799972534",-24,202,156,"0,0099999998","0,0099999998","0,0099999998",0,"-0,0099999998","0,0199999996",100
"1528,068","52,1199989319","5,6100001335","101,8799972534",-24,202,156,"-0,0099999998","-0,0199999996","0,0199999996","-0,0099999998","-0,0099999998","0,0099999998",100
"1528,117","52,0600013733","5,5399999619","101,8799972534",-25,203,156,"-0,0199999996","-0,0099999998","0,0199999996","-0,0199999996","-0,0099999998","0,0099999998",100
"1528,173","52,0600013733","5,4899997711","101,8499984741",-24,202,155,0,"-0,0199999996","0,0099999998","-0,0199999996","-0,0299999993","0,0199999996",100
"1528,219","51,9500007629","5,3600001335","101,7799987793",-26,204,155,"-0,0299999993","-0,0399999991","0,0199999996","-0,0500000007","-0,0399999991","0,0199999996",100
"1528,274","52,0499992371","5,4400000572","101,8000030518",-24,202,156,"0,0399999991","0,0199999996","-0,0199999996","-0,0199999996","-0,0199999996","0,0099999998",100
"1528,327","51,9799995422","5,4099998474","101,7900009155",-23,201,159,"-0,0199999996","-0,0099999998","0,0099999998","-0,0299999993","-0,0199999996",0,100
"1528,372","51,75","5,2800002098","101,7699966431",-26,201,157,"-0,0799999982","-0,0299999993","0,0299999993","-0,0299999993","-0,0199999996","0,0099999998",100
"1528,424","51,6899986267","5,3600001335","101,7799987793",-22,201,158,"-0,0299999993","0,0199999996","-0,0199999996","-0,0299999993","-0,0199999996","0,0199999996",100
"1528,474","51,6699981689","5,25","101,8000030518",-23,202,159,"-0,0099999998","-0,0199999996","0,0299999993",0,"-0,0099999998",0,100
"1528,527","51,6899986267","5,2300000191","101,8199996948",-24,201,159,"0,0099999998",0,"0,0099999998","0,0099999998",0,0,100
"1528,59","51,6500015259","5,3000001907","101,8199996948",-24,202,160,"-0,0099999998","0,0199999996","-0,0199999996",0,"0,0099999998",0,100
"1528,617","51,5800018311","5,3899998665","101,8899993896",-24,201,157,"-0,0199999996","0,0299999993","-0,0099999998",0,"0,0199999996",0,100
"1528,715","51,6100006104","5,4200000763","101,9300003052",-24,201,159,"0,0199999996","0,0399999991",0,"-0,0099999998","0,0299999993","0,0099999998",100
"1528,742","51,6800003052","5,5799999237","102,0299987793",-25,203,158,"0,0099999998","0,0299999993","-0,0099999998","0,0199999996","0,0299999993","-0,0099999998",100
"1528,769","51,7599983215","5,6199998856","102,0500030518",-25,204,157,"0,0500000007","0,0299999993","-0,0099999998","0,0299999993","0,0299999993",0,100
"1528,818","51,8899993896","5,6599998474","102,0699996948",-25,201,156,"0,0799999982","0,0199999996","-0,0099999998","0,0399999991","0,0199999996","-0,0099999998",100
"1528,869","52,0499992371","5,7199997902","102,0599975586",-24,201,157,"0,0599999987","0,0099999998","-0,0199999996","0,0500000007","0,0099999998","-0,0099999998",100
"1528,95","52,0699996948","5,6799998283","102,0299987793",-25,202,157,"0,0099999998","-0,0199999996",0,"0,0299999993",0,"-0,0099999998",100
"1528,973","52,1399993896","5,7199997902","102,0999984741",-27,203,156,"0,0099999998","0,0199999996",0,"0,0199999996","0,0199999996",0,100
"1529,018","52,1899986267","5,7800002098","102,1299972534",-26,202,157,"0,0299999993","0,0399999991","-0,0199999996","0,0199999996","0,0199999996","0,0099999998",100
"1529,09","52,2000007629","5,8099999428","102,1200027466",-27,203,155,0,0,"-0,0099999998","0,0199999996",0,0,100
"1529,119","52,1899986267","6,0599999428","102,25",-26,203,157,"-0,0099999998","0,0599999987","-0,0299999993","-0,0299999993","0,0500000007",0,100
"1529,169","52,2099990845","6,0799999237","102,2799987793",-29,203,155,"0,0199999996","0,0199999996",0,"0,0199999996","0,0399999991","-0,0099999998",100
"1529,218","52,3899993896","6,1999998093","102,2900009155",-27,204,155,"0,0599999987","0,0299999993","-0,0299999993","0,0399999991","0,0099999998","0,0099999998",100
"1529,267","52,5200004578","6,1799998283","102,2600021362",-25,204,154,"0,0500000007","-0,0099999998",0,"0,0299999993",0,0,100
"1529,317","52,6699981689","6,0599999428","102,2399978638",-28,203,156,"0,0500000007","-0,0299999993","0,0299999993","0,0299999993",0,0,100
"1529,367","52,5999984741","6,1799998283","102,2600021362",-26,203,156,"-0,0199999996","0,0299999993","-0,0299999993","0,0099999998","0,0299999993",0,100
