Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
1564929,"27,60000038","76,13999939","4,980000019",-258,29,57,"-0,01","0,059999999","-0,01",0,"0,050000001","0,01",0
1564952,"27,57999992","76,12999725","4,96999979",-261,28,55,0,"-0,01",0,"0,01","0,01","0,01",0
1564998,"27,56999969","76,18000031","4,949999809",-260,29,57,"0,01","0,029999999","-0,02","0,02","-0,01","0,02",0
1565048,"27,54000092","76,15000153","4,940000057",-259,30,56,"-0,01","-0,01",0,"0,01",0,"0,02",0
1565098,"27,79000092","76,16000366",01/05/25,-260,31,58,"-0,02","0,02","0,02","-0,01","0,01","0,01",0
1565148,"27,89999962","76,04000092","5,389999866",-259,29,57,"-0,01","-0,029999999","0,029999999",0,0,"0,01",0
1565243,"27,84000015","76,05999756","5,360000134",-261,30,56,"-0,01","0,01","-0,01",0,"0,01","0,02",0
1565258,"27,93000031","76,26999664","5,550000191",-259,32,56,"-0,02","0,039999999","-0,01","-0,01","0,02",0,0
"1565,3","28,20000076","76,25","5,820000172",-261,32,56,0,"0,01","0,039999999",0,"0,02",0,0
"1565,35","28,79999924","76,22000122","6,420000076",-259,31,55,"0,01","0,02","0,059999999","0,01","0,01","0,029999999",0
1565398,"28,95999908","76,26000214","6,619999886",-260,30,57,"-0,01","0,02","0,01","-0,01","0,01",0,0
1565495,"28,67000008","76,23999786","6,340000153",-261,31,58,"-0,01","-0,02","-0,02",0,"0,01",0,0
"1565,51","28,37000084","76,08999634","5,980000019",-260,30,55,"0,01","-0,029999999",0,"0,02",0,0,0
"1565,55","28,52000046","76,16999817","6,119999886",-260,31,53,0,"0,059999999","-0,01","0,01","0,029999999","0,01",0
1565599,"28,92000008","76,30999756","6,489999771",-258,32,55,"0,02","0,07",0,"0,02","0,01",0,0
1565649,"29,14999962","76,31999969","6,690000057",-259,31,55,"0,01","0,01","0,01","0,02","0,01","-0,02",0
"1565,7","29,22999954","76,37000275","6,840000153",-261,33,55,"-0,02","0,02",0,"-0,01","0,02",0,0
1565759,"29,67000008","76,30999756",01/07/25,-259,31,53,"0,01",0,"0,039999999","0,01",0,0,0
"1565,8","29,70000076","76,40000153","7,239999771",-259,31,55,"0,01","0,02","-0,01","0,02","-0,01","-0,01",0
1565851,"29,46999931","76,38999939","7,010000229",-258,32,56,0,"-0,01","-0,02",0,0,"-0,01",0
1565904,"29,62000084","76,25","7,170000076",-259,30,58,0,"-0,029999999","0,029999999","0,01",0,"0,01",0
1565954,"28,89999962","76,16000366","6,510000229",-259,32,56,"-0,029999999","-0,050000001","-0,029999999",0,0,0,0
1566005,"29,06999969","76,16999817","6,690000057",-262,31,57,0,"0,01","0,01","0,01","0,01","-0,01",0
1566056,"28,89999962","76,16000366","6,480000019",-260,30,56,"0,01","-0,01","-0,01","0,029999999",0,"-0,01",0
1566107,"28,73999977","76,26000214","6,340000153",-263,32,55,0,"0,02","-0,029999999","0,01","0,02","-0,01",0
1566158,"29,02000046","76,29000092","6,599999905",-260,30,54,"0,01","0,02","0,01","0,02",0,"-0,01",0
"1566,2","28,96999931","76,40000153","6,539999962",-258,31,55,0,"0,029999999","-0,02","0,02",0,0,0
1566267,"28,97999954","76,36000061","6,519999981",-258,31,56,"0,01","-0,01","0,01","0,02",0,"-0,01",0
"1566,3","28,80999947","76,20999908","6,349999905",-261,32,54,0,"-0,039999999","0,01","0,01","-0,01",0,0
1566363,"29,09000015","76,26000214","6,639999866",-259,32,55,0,"0,039999999","0,02",0,0,0,0
1566399,"29,37999916","76,19000244","6,920000076",-261,31,54,"0,01","-0,01","0,029999999","0,01","-0,01",0,0
"1566,45","29,44000053","76,20999908","6,960000038",-259,32,54,"0,01","0,01",0,"0,01","-0,02","0,01",0
1566501,"29,60000038","76,26000214","7,150000095",-259,32,54,"-0,01","0,02","0,01","-0,01",0,"-0,01",0
1566553,"29,72999954","76,27999878","7,289999962",-259,30,56,0,"0,01","0,01",0,"-0,01",0,0
"1566,6","29,28000069","76,26000214","6,869999886",-259,31,56,"-0,01","-0,02","-0,029999999","0,01",0,0,0
1566653,"29,05999947","76,19000244","6,650000095",-260,28,55,0,"-0,039999999",0,"0,01","-0,02",0,0
1566723,"28,38999939","76,29000092","5,980000019",-262,28,56,"-0,01",0,"-0,059999999","0,01","-0,01",0,0
