Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Time,Eul-X,Eul-Y,Eul-Z,Accel-X,Accel-Y,Accel-Z,Omega-X,Omega-Y,Omega-Z,Gyro-X,Gyro-Y,Gyro-Z,Tag
"2588,716","12,1400003433","80,1999969482","-5,0900001526",-261,12,46,"0,0099999998","0,2199999988",0,0,"0,2899999917","-0,0399999991",0
"2588,741","13,3100004196","80,3700027466","-4,1399998665",-265,10,38,"0,0900000036","0,0700000003","0,0399999991","0,0700000003","0,1299999952",0,0
"2588,785","13,3299999237","80,4199981689","-4,2800002098",-277,-9,29,"0,1099999994","0,0299999993","-0,0199999996","0,0900000036","-0,0700000003",0,0
"2588,837","7,4899997711","81,7600021362","-9,970000267",-259,15,40,"-0,0900000036","0,4600000083","-0,4399999976","-0,0500000007","0,150000006","-0,0399999991",0
"2588,88","11,8999996185","81,2200012207","-5,5999999046",-272,8,42,"0,0299999993","-0,1400000006","0,2399999946","0,0199999996","-0,0700000003","0,0500000007",0
"2588,93","11,4799995422","81,0400009155","-5,9600000381",-264,7,38,"-0,0199999996","-0,0700000003","-0,0099999998","-0,0199999996","-0,0399999991","0,0099999998",0
"2588,98","12,9899997711","80,8700027466","-4,3699998856",-266,6,42,"-0,0199999996","-0,0399999991","0,1000000015","-0,0099999998","-0,0799999982","0,1299999952",0
"2589,03","12,0600004196","80,8000030518","-4,7800002098",-261,13,41,"-0,1899999976","-0,0299999993","-0,0199999996","-0,1700000018",0,"0,0599999987",0
"2589,092","13,4300003052","80,2300033569","-2,8499999046",-263,14,41,"-0,1800000072","-0,1700000018","0,150000006","-0,200000003","-0,1599999964","0,0799999982",0
"2589,13","14,6800003052","80,0999984741","-1,4900000095",-267,6,48,"-0,0299999993","-0,0199999996","0,0700000003","-0,0399999991","-0,0599999987","0,0099999998",0
"2589,186","13,0699996948","79,9000015259","-3,0799999237",-265,8,47,"-0,0199999996","-0,1199999973","-0,1000000015",0,"-0,0500000007","0,0199999996",0
"2589,231","12,4099998474","79,6900024414","-3,7100000381",-264,11,46,"-0,0199999996","-0,0700000003","-0,0199999996",0,"-0,0399999991","0,0399999991",0
"2589,28","12,8900003433","79,7099990845","-3,1300001144",-263,10,41,"-0,0299999993","0,0099999998","0,0399999991","-0,0299999993","0,0099999998","0,0299999993",0
"2589,333","13,5600004196","79,8399963379","-2,3499999046",-262,10,44,"-0,0399999991","0,0599999987","0,0399999991","-0,0399999991","-0,0399999991","0,0599999987",0
"2589,389","13,1899995804","79,8600006104","-2,4900000095",-260,10,44,"-0,0700000003","0,0099999998","-0,0099999998","-0,0700000003","-0,0099999998","0,0199999996",0
"2589,439","12,9899997711","80,0599975586","-2,6099998951",-264,11,48,"-0,0299999993","0,0599999987","-0,0199999996","-0,0299999993","0,0500000007",0,0
"2589,481","12,9799995422","79,8799972534","-2,7100000381",-264,11,45,"0,0399999991","-0,0700000003","0,0099999998","0,0299999993","0,0099999998","0,0099999998",0
"2589,538","13,2100000381","79,9700012207","-2,5399999619",-262,12,47,"0,0199999996","0,0399999991",0,"0,0199999996","0,0399999991","0,0099999998",0
"2589,582","13,720000267","79,7600021362","-2,1400001049",-264,10,45,"0,0399999991","-0,0599999987","0,0399999991","0,0299999993",0,"0,0199999996",0
"2589,644","13,6700000763","79,9300003052","-2,1700000763",-262,12,46,"-0,0099999998","0,0599999987","-0,0199999996","-0,0099999998","0,0500000007","0,0199999996",0
"2589,692","14,5500001907","79,9800033569","-1,3400000334",-264,15,39,"0,0199999996","0,0299999993","0,0399999991","0,0099999998","0,0599999987","0,0299999993",0
"2589,731","16,6200008392","80,4000015259","0,8199999928",-264,22,40,"-0,0199999996","0,1899999976","0,0900000036","-0,0500000007","0,0799999982","0,0399999991",0
"2589,781","19,9300003052","80,3300018311","4,2600002289",-264,25,34,"-0,0299999993","0,0500000007","0,25","-0,0700000003","0,0099999998","0,0799999982",0
"2589,869","25,7000007629","80,4800033569","10,3100004196",-261,21,41,"-0,0700000003","0,1899999976","0,3100000024","-0,1299999952","0,0399999991","0,1299999952",0
"2589,884","27,5900001526","80,3399963379",13,-258,24,37,"-0,1700000018","0,0199999996","0,1000000015","-0,2099999934","0,0700000003","0,0799999982",0
"2589,931","28,6100006104","80,3899993896","14,2399997711",-259,27,36,"-0,1400000006","0,1000000015","0,1099999994","-0,2099999934","0,0799999982","0,0599999987",0
"2589,98","31,1200008392","80,5599975586","17,0499992371",-262,30,39,"-0,1000000015","0,1400000006","0,1199999973","-0,1700000018","0,1099999994","0,0199999996",0
"2590,039","32,0099983215","80,2300033569","18,2199993134",-272,27,43,"-0,1000000015","-0,0700000003","0,1199999973","-0,1700000018","-0,0099999998","-0,0099999998",0
"2590,094","27,4799995422","79,6600036621","14,6499996185",-262,11,50,"-0,3000000119","-0,2399999946","-0,0700000003","-0,2899999917","-0,1599999964","-0,1099999994",0
"2590,141","17,7999992371","79,8499984741","5,75",-256,15,50,"-0,2899999917","-0,1400000006","-0,4900000095","-0,2199999988","0,0199999996","-0,2599999905",0
